date,value
1948-01-01,-0.5
1948-02-01,-0.43
1948-03-01,-0.13
1948-04-01,-0.01
1948-05-01,0.6
1948-06-01,0.22
1948-07-01,0.18
1948-08-01,0.2
1948-09-01,-0.1
1948-10-01,-0.53
1948-11-01,-0.51
1948-12-01,0.07
1949-01-01,-0.18
1949-02-01,0.14
1949-03-01,-0.62
1949-04-01,-0.36
1949-05-01,-0.28
1949-06-01,-0.89
1949-07-01,-0.32
1949-08-01,-0.34
1949-09-01,-1.15
1949-10-01,-0.79
1949-11-01,-1.35
1949-12-01,-1.1
1950-01-01,-0.9
1950-02-01,-1.14
1950-03-01,-0.95
1950-04-01,-1.07
1950-05-01,-0.8
1950-06-01,-0.75
1950-07-01,-0.72
1950-08-01,-1.02
1950-09-01,-1.35
1950-10-01,-0.93
1950-11-01,-1.3
1950-12-01,-0.83
1951-01-01,-0.98
1951-02-01,-0.71
1951-03-01,-0.41
1951-04-01,-0.33
1951-05-01,-0.02
1951-06-01,-0.02
1951-07-01,-0.26
1951-08-01,0.06
1951-09-01,-0.05
1951-10-01,0.13
1951-11-01,0.35
1951-12-01,0.23
1952-01-01,0.29
1952-02-01,0.09
1952-03-01,-0.31
1952-04-01,0.15
1952-05-01,-0.0
1952-06-01,-0.36
1952-07-01,-0.51
1952-08-01,-0.43
1952-09-01,-0.27
1952-10-01,-0.16
1952-11-01,-0.23
1952-12-01,-0.29
1953-01-01,0.21
1953-02-01,0.06
1953-03-01,0.02
1953-04-01,0.24
1953-05-01,0.32
1953-06-01,0.42
1953-07-01,0.21
1953-08-01,0.21
1953-09-01,0.37
1953-10-01,-0.03
1953-11-01,0.42
1953-12-01,-0.18
1954-01-01,0.11
1954-02-01,0.21
1954-03-01,-0.26
1954-04-01,-0.13
1954-05-01,-0.07
1954-06-01,-0.34
1954-07-01,-0.62
1954-08-01,-0.75
1954-09-01,-1.03
1954-10-01,-0.62
1954-11-01,-0.65
1954-12-01,-0.91
1955-01-01,-0.45
1955-02-01,-0.8
1955-03-01,-0.78
1955-04-01,-0.81
1955-05-01,-1.04
1955-06-01,-0.64
1955-07-01,-1.15
1955-08-01,-0.9
1955-09-01,-0.99
1955-10-01,-1.83
1955-11-01,-1.5
1955-12-01,-1.32
1956-01-01,-1.1
1956-02-01,-0.79
1956-03-01,-0.57
1956-04-01,-0.59
1956-05-01,-0.61
1956-06-01,-0.79
1956-07-01,-0.77
1956-08-01,-0.85
1956-09-01,-1.17
1956-10-01,-0.96
1956-11-01,-0.63
1956-12-01,-0.43
1957-01-01,-0.16
1957-02-01,0.18
1957-03-01,-0.09
1957-04-01,0.4
1957-05-01,0.51
1957-06-01,-0.23
1957-07-01,-0.18
1957-08-01,0.42
1957-09-01,0.24
1957-10-01,0.41
1957-11-01,0.44
1957-12-01,0.46
1958-01-01,0.96
1958-02-01,1.19
1958-03-01,0.75
1958-04-01,0.4
1958-05-01,0.32
1958-06-01,0.26
1958-07-01,0.09
1958-08-01,0.15
1958-09-01,0.05
1958-10-01,0.02
1958-11-01,0.21
1958-12-01,0.15
1959-01-01,0.43
1959-02-01,0.14
1959-03-01,0.12
1959-04-01,0.17
1959-05-01,0.19
1959-06-01,-0.44
1959-07-01,-0.36
1959-08-01,-0.25
1959-09-01,-0.25
1959-10-01,-0.33
1959-11-01,-0.27
1959-12-01,-0.37
1960-01-01,-0.65
1960-02-01,-0.42
1960-03-01,-0.53
1960-04-01,-0.21
1960-05-01,-0.38
1960-06-01,-0.52
1960-07-01,-0.46
1960-08-01,-0.57
1960-09-01,-0.46
1960-10-01,-0.47
1960-11-01,-0.37
1960-12-01,-0.04
1961-01-01,-0.28
1961-02-01,-0.29
1961-03-01,-0.44
1961-04-01,-0.52
1961-05-01,-0.48
1961-06-01,-0.26
1961-07-01,-0.38
1961-08-01,-0.62
1961-09-01,-0.63
1961-10-01,-0.7
1961-11-01,-0.54
1961-12-01,-0.7
1962-01-01,-0.8
1962-02-01,-0.65
1962-03-01,-0.56
1962-06-01,-0.47
1962-07-01,-0.44
1962-08-01,-0.53
1962-09-01,-0.53
1962-10-01,-0.65
1962-11-01,-0.41
1962-12-01,-0.48
1963-01-01,-0.75
1963-02-01,-0.49
1963-03-01,-0.35
1963-04-01,-0.21
1963-05-01,-0.32
1963-06-01,-0.68
1963-07-01,0.15
1963-08-01,0.15
1963-09-01,0.16
1963-10-01,0.39
1963-11-01,0.2
1963-12-01,0.19
1964-01-01,0.3
1964-02-01,0.14
1964-03-01,-0.31
1964-04-01,-0.18
1964-05-01,-0.53
1964-06-01,-0.77
1964-07-01,-0.85
1964-08-01,-1.04
1964-09-01,-1.43
1964-10-01,-1.26
1964-11-01,-1.42
1964-12-01,-1.1
1965-01-01,-0.68
1965-02-01,-0.49
1965-03-01,-0.56
1965-04-01,-0.38
1965-05-01,-0.24
1965-06-01,0.06
1965-07-01,0.12
1965-08-01,0.18
1965-09-01,0.14
1965-10-01,0.53
1965-11-01,0.63
1965-12-01,0.56
1966-01-01,0.49
1966-02-01,0.39
1966-03-01,0.75
1966-04-01,0.21
1966-05-01,0.04
1966-06-01,0.25
1966-07-01,0.32
1966-08-01,0.01
1966-09-01,0.02
1966-10-01,-0.2
1966-11-01,-0.01
1966-12-01,-0.19
1967-01-01,-0.75
1967-02-01,-0.71
1967-03-01,-0.33
1967-04-01,-0.22
1967-05-01,-0.0
1967-06-01,-0.15
1967-07-01,-0.24
1967-08-01,-0.37
1967-09-01,-0.44
1967-10-01,-0.28
1967-11-01,-0.31
1967-12-01,-0.18
1968-01-01,-0.34
1968-02-01,-0.07
1968-03-01,-0.34
1968-04-01,-0.37
1968-05-01,-0.6
1968-06-01,-0.02
1968-07-01,-0.2
1968-08-01,-0.03
1968-09-01,-0.34
1968-10-01,0.2
1968-11-01,0.51
1968-12-01,0.45
1969-01-01,1.01
1969-02-01,1.16
1969-03-01,0.56
1969-04-01,0.58
1969-05-01,0.44
1969-06-01,0.13
1969-07-01,-0.09
1969-08-01,0.29
1969-09-01,0.42
1969-10-01,0.48
1969-11-01,0.4
1969-12-01,0.6
1970-01-01,0.22
1970-02-01,0.25
1970-03-01,0.17
1970-04-01,0.28
1970-05-01,0.08
1970-06-01,-0.23
1970-07-01,-0.12
