date,value
1970-08-01,-0.48
1970-09-01,-0.8
1970-10-01,-0.77
1970-11-01,-0.62
1970-12-01,-1.05
1971-01-01,-1.47
1971-02-01,-1.13
1971-03-01,-1.15
1971-04-01,-0.77
1971-05-01,-0.88
1971-06-01,-0.96
1971-07-01,-0.93
1971-08-01,-1.01
1971-10-01,-0.9
1971-11-01,-0.76
1971-12-01,-0.58
1972-01-01,-0.57
1972-02-01,-0.13
1972-03-01,-0.12
1972-04-01,0.28
1972-05-01,0.16
1972-06-01,0.19
1972-07-01,0.25
1972-08-01,0.06
1972-09-01,0.17
1972-10-01,0.51
1972-11-01,0.66
1972-12-01,0.58
1973-01-01,0.69
1973-02-01,0.62
1973-03-01,0.28
1973-04-01,-0.28
1973-05-01,-0.34
1973-06-01,-0.71
1973-07-01,-0.88
1973-08-01,-1.02
1973-09-01,-1.23
1973-10-01,-1.3
1973-11-01,-1.71
1973-12-01,-2.0
1974-01-01,-1.86
1974-02-01,-1.29
1974-03-01,-1.24
1974-04-01,-1.14
1974-05-01,-1.12
1974-06-01,-0.69
1974-07-01,-1.14
1974-08-01,-0.69
1974-09-01,-0.95
1974-10-01,-1.13
1974-11-01,-1.11
1974-12-01,-1.03
1975-01-01,-0.76
1975-02-01,-0.56
1975-03-01,-0.81
1975-04-01,-0.79
1975-05-01,-1.06
1975-06-01,-1.26
1975-07-01,-1.42
1975-08-01,-1.64
1975-09-01,-1.95
1975-10-01,-1.95
1975-11-01,-1.8
1975-12-01,-2.11
1976-01-01,-1.44
1976-02-01,-0.97
1976-03-01,-0.82
1976-04-01,-0.55
1976-05-01,-0.62
1976-06-01,-0.55
1976-07-01,-0.49
1976-08-01,-0.34
1976-09-01,-0.31
1976-10-01,0.11
1976-11-01,0.34
1976-12-01,-0.02
1977-01-01,0.1
1977-02-01,-0.05
1977-03-01,-0.07
1977-04-01,-0.09
1977-05-01,-0.26
1977-06-01,0.15
1977-07-01,0.34
1977-08-01,0.12
1977-09-01,0.39
1977-10-01,0.41
1977-11-01,0.51
1977-12-01,0.46
1978-01-01,0.39
1978-02-01,0.29
1978-03-01,-0.01
1978-04-01,-0.34
1978-05-01,-0.09
1978-06-01,-0.29
1978-07-01,-0.25
1978-08-01,-0.57
1978-09-01,-0.19
1978-10-01,-0.38
1978-11-01,-0.27
1978-12-01,-0.04
1979-01-01,0.2
1979-02-01,0.13
1979-03-01,0.04
1979-04-01,-0.04
1979-05-01,-0.14
1979-06-01,-0.1
1979-07-01,0.03
1979-08-01,-0.35
1979-09-01,-0.14
1979-10-01,-0.05
1979-11-01,0.29
1979-12-01,0.4
1980-01-01,0.33
1980-05-01,0.39
1980-06-01,0.19
1980-07-01,0.25
1980-08-01,-0.13
1980-09-01,-0.26
1980-10-01,0.03
1980-11-01,0.22
1980-12-01,-0.05
1981-01-01,-0.22
1981-02-01,-0.18
1981-03-01,0.06
1981-04-01,-0.43
1981-05-01,-0.24
1981-06-01,-0.35
1981-07-01,-0.5
1981-08-01,-0.39
1981-09-01,-0.23
1981-10-01,-0.21
1981-11-01,-0.25
1981-12-01,-0.02
1982-01-01,-0.1
1982-02-01,-0.05
1982-03-01,0.06
1982-04-01,0.29
1982-05-01,0.5
1982-06-01,0.64
1982-07-01,0.16
1982-08-01,0.13
1982-09-01,0.35
1982-10-01,0.84
1982-11-01,0.7
1982-12-01,0.68
1983-01-01,0.73
1983-02-01,0.58
1983-03-01,0.56
1983-04-01,0.14
1983-05-01,0.2
1983-06-01,0.05
1983-07-01,-0.35
1983-08-01,-0.38
1983-09-01,-0.73
1983-10-01,-0.86
1983-11-01,-0.89
1983-12-01,-0.63
1984-01-01,-0.72
1984-02-01,-0.83
1984-03-01,-0.7
1984-04-01,-0.79
1984-05-01,-0.71
1984-06-01,-0.71
1984-07-01,-0.52
1984-08-01,-0.6
1984-09-01,-0.36
1984-10-01,-0.64
1984-11-01,-0.77
1984-12-01,-0.98
1985-01-01,-0.52
1985-02-01,-0.7
1985-03-01,-0.92
1985-04-01,-0.9
1985-05-01,-0.78
1985-06-01,-0.82
1985-07-01,-0.41
1985-08-01,-0.36
1985-09-01,-0.25
1985-10-01,-0.31
1985-11-01,-0.18
1985-12-01,-0.13
1986-01-01,-0.24
1986-02-01,-0.14
1986-03-01,-0.21
1986-04-01,-0.32
1986-05-01,-0.09
1986-06-01,0.04
1986-07-01,0.17
1986-08-01,0.24
1986-09-01,0.38
1986-10-01,0.34
1986-11-01,0.76
1986-12-01,0.52
1987-01-01,0.49
1987-02-01,0.67
1987-03-01,0.63
1987-04-01,0.4
1987-05-01,0.44
1987-06-01,0.59
1987-07-01,0.59
1987-08-01,0.63
1987-09-01,0.66
1987-10-01,0.89
1987-12-01,0.82
1988-01-01,0.68
1988-02-01,0.27
1988-03-01,0.18
1988-04-01,-0.36
1988-05-01,-0.71
1988-06-01,-0.83
1988-07-01,-0.87
1988-08-01,-0.7
1988-09-01,-0.91
1988-10-01,-1.54
1988-11-01,-1.53
1988-12-01,-1.52
1989-01-01,-1.67
1989-02-01,-1.33
1989-03-01,-1.13
1989-04-01,-0.96
1989-05-01,-0.68
1989-06-01,-0.83
1989-07-01,-0.64
1989-08-01,-0.73
1989-09-01,-0.41
1989-10-01,-0.35
1989-11-01,-0.48
1989-12-01,0.09
1990-01-01,0.15
1990-02-01,0.37
1990-03-01,0.32
1990-04-01,0.34
1990-05-01,0.11
1990-06-01,0.1
1990-07-01,0.25
1990-08-01,0.34
1990-09-01,0.26
1990-10-01,0.44
1990-11-01,0.38
1990-12-01,0.5
1991-01-01,0.67
1991-02-01,0.63
1991-03-01,0.39
1991-04-01,0.57
1991-05-01,0.54
1991-06-01,0.43
1991-07-01,0.55
1991-08-01,0.56
1991-09-01,0.34
1991-10-01,0.71
1991-11-01,0.82
1991-12-01,0.87
1992-01-01,0.66
1992-02-01,0.97
1992-03-01,0.84
1992-04-01,0.8
1992-05-01,0.59
1992-06-01,0.31
1992-07-01,0.42
1992-08-01,0.19
1992-09-01,0.03
1992-10-01,-0.0
1992-11-01,-0.0
1992-12-01,0.08
1993-01-01,0.37
1993-02-01,0.35
1993-03-01,0.21
1993-04-01,0.37
1993-05-01,0.4
1993-06-01,0.26
1993-07-01,0.14
1993-08-01,0.25
1993-09-01,0.31
1993-10-01,0.2
1993-11-01,0.2
1993-12-01,0.29
1994-01-01,0.22
1994-02-01,-0.08
1994-03-01,0.19
1994-04-01,0.17
1994-05-01,0.23
1994-06-01,0.33
1994-07-01,0.64
1994-08-01,0.68
1994-09-01,0.46
1994-10-01,0.73
1994-11-01,0.8
1994-12-01,0.92
1995-01-01,0.78
1995-02-01,0.79
1995-03-01,0.74
1995-04-01,0.51
1995-05-01,0.45
1995-08-01,-0.14
1995-09-01,-0.29
1995-10-01,-0.49
1995-11-01,-0.61
1995-12-01,-0.46
1996-01-01,-0.49
1996-02-01,-0.47
1996-03-01,-0.37
1996-04-01,-0.35
1996-05-01,-0.18
1996-06-01,-0.23
1996-07-01,-0.32
1996-08-01,-0.12
1996-09-01,-0.19
1996-10-01,-0.2
1996-11-01,-0.08
1996-12-01,-0.09
1997-01-01,0.06
1997-02-01,0.23
1997-03-01,0.32
1997-04-01,0.68
1997-05-01,0.57
1997-06-01,0.56
1997-07-01,0.65
1997-08-01,0.67
1997-09-01,0.85
1997-10-01,0.73
1997-11-01,0.89
1997-12-01,0.83
1998-01-01,0.9
1998-02-01,0.76
1998-03-01,0.42
1998-04-01,0.19
1998-05-01,0.15
1998-06-01,-0.37
1998-07-01,-0.38
1998-08-01,-0.77
1998-09-01,-0.83
1998-10-01,-1.11
1998-11-01,-1.16
1998-12-01,-1.27
1999-01-01,-1.6
1999-02-01,-1.35
1999-03-01,-0.97
1999-04-01,-0.75
1999-05-01,-0.77
1999-06-01,-0.7
1999-07-01,-0.93
1999-08-01,-0.94
1999-09-01,-0.76
1999-10-01,-0.8
1999-11-01,-1.09
1999-12-01,-1.18
2000-01-01,-1.16
2000-02-01,-1.19
2000-03-01,-1.16
2000-04-01,-1.01
2000-05-01,-0.96
2000-06-01,-0.51
2000-07-01,-0.47
2000-08-01,-0.34
2000-09-01,-0.24
2000-10-01,-0.46
2000-11-01,-0.44
2000-12-01,-0.74
2001-01-01,-0.69
2001-02-01,-0.64
2001-03-01,-0.5
2001-04-01,-0.23
2001-05-01,-0.11
2001-06-01,0.02
2001-07-01,0.29
2001-08-01,0.29
2001-09-01,0.38
2001-10-01,0.4
2001-11-01,0.27
2001-12-01,0.08
2002-01-01,0.34
2002-02-01,0.39
2002-03-01,0.35
2002-04-01,0.57
2002-05-01,0.6
2002-06-01,0.67
2002-07-01,0.73
2002-08-01,0.65
2002-09-01,0.76
2002-10-01,0.75
2002-11-01,0.9
2002-12-01,0.89
2003-01-01,0.51
2003-02-01,0.75
2003-04-01,0.46
2003-05-01,0.03
2003-06-01,0.28
2003-07-01,0.31
2003-08-01,0.36
2003-09-01,0.37
2003-10-01,0.52
2003-11-01,0.54
2003-12-01,0.48
2004-01-01,0.54
2004-02-01,0.5
2004-03-01,0.15
2004-04-01,0.33
2004-05-01,0.31
2004-06-01,0.33
2004-07-01,0.59
2004-08-01,0.6
2004-09-01,0.72
2004-10-01,0.8
2004-11-01,0.87
2004-12-01,0.87
2005-01-01,0.89
2005-02-01,0.67
2005-03-01,0.63
2005-04-01,0.47
2005-05-01,0.36
2005-06-01,0.35
2005-07-01,0.06
2005-08-01,0.17
2005-09-01,0.21
2005-10-01,0.27
2005-11-01,0.08
2005-12-01,-0.18
2006-01-01,-0.39
2006-02-01,-0.56
2006-03-01,-0.47
2006-04-01,-0.07
2006-05-01,0.07
2006-06-01,0.29
2006-07-01,0.32
2006-08-01,0.53
2006-09-01,0.63
2006-10-01,0.67
2006-11-01,0.87
2006-12-01,0.92
2007-01-01,0.64
2007-02-01,0.44
2007-03-01,0.35
2007-04-01,0.23
2007-05-01,0.08
2007-06-01,0.17
2007-07-01,0.0
2007-08-01,-0.17
2007-09-01,-0.52
2007-10-01,-0.65
2007-11-01,-0.97
2007-12-01,-1.04
2008-01-01,-1.26
2008-02-01,-1.4
2008-03-01,-1.13
2008-04-01,-0.93
2008-05-01,-0.84
2008-06-01,-0.63
2008-07-01,-0.41
2008-08-01,-0.33
2008-09-01,-0.46
2008-10-01,-0.36
2008-11-01,-0.48
2008-12-01,-0.63
2009-01-01,-0.78
2009-02-01,-0.5
2009-03-01,-0.4
2009-04-01,-0.07
2009-05-01,0.21
2009-06-01,0.46
2009-07-01,0.44
2009-08-01,0.64
2009-09-01,0.65
2009-10-01,1.01
2009-11-01,1.25
2009-12-01,1.32
2010-01-01,1.2
2010-02-01,1.04
2010-03-01,0.84
2010-04-01,0.65
2010-05-01,0.2
2010-06-01,-0.13
2010-07-01,-0.59
2010-10-01,-1.33
2010-11-01,-1.33
2010-12-01,-1.3
2011-01-01,-1.24
2011-02-01,-0.92
2011-03-01,-0.64
2011-04-01,-0.62
2011-05-01,-0.44
2011-06-01,-0.3
2011-07-01,-0.3
2011-08-01,-0.48
2011-09-01,-0.67
2011-10-01,-0.75
2011-11-01,-0.68
2011-12-01,-0.98
2012-01-01,-0.97
2012-02-01,-0.68
2012-03-01,-0.57
2012-04-01,-0.28
2012-05-01,-0.24
2012-06-01,-0.11
2012-07-01,-0.01
2012-08-01,0.3
2012-09-01,0.24
2012-10-01,0.33
2012-11-01,0.36
2012-12-01,0.19
2013-01-01,-0.05
2013-02-01,-0.11
2013-03-01,-0.26
2013-04-01,0.0
2013-05-01,-0.1
2013-06-01,-0.13
2013-07-01,-0.15
2013-08-01,-0.1
2013-09-01,0.06
2013-10-01,0.09
2013-11-01,0.27
2013-12-01,-0.11
2014-01-01,-0.05
2014-02-01,0.2
2014-03-01,0.36
2014-04-01,0.5
2014-05-01,0.56
2014-06-01,0.43
2014-07-01,0.15
2014-08-01,0.26
2014-09-01,0.34
2014-10-01,0.4
2014-11-01,0.74
2014-12-01,0.73
2015-01-01,0.72
2015-02-01,0.88
2015-03-01,0.92
2015-04-01,1.13
2015-05-01,1.08
2015-06-01,1.09
2015-07-01,1.03
2015-08-01,1.04
2015-09-01,1.12
2015-10-01,1.31
2015-11-01,1.58
2015-12-01,1.48
2016-01-01,1.44
2016-02-01,1.39
2016-03-01,1.2
2016-04-01,0.96
2016-05-01,0.75
2016-06-01,0.58
2016-07-01,0.36
2016-08-01,0.22
2016-09-01,-0.03
2016-10-01,-0.19
2016-11-01,-0.19
2016-12-01,0.01
2017-01-01,-0.02
2017-02-01,0.33
2017-03-01,0.2
2017-04-01,0.32
2017-05-01,0.36
2017-06-01,0.56
2017-07-01,0.47
2017-08-01,0.27
2017-09-01,0.09
2017-10-01,0.1
2017-11-01,-0.04
2017-12-01,-0.27
2018-01-01,-0.23
2018-02-01,-0.1
2018-03-01,-0.1
2018-04-01,0.24
2018-05-01,0.43
2018-06-01,0.43
2018-07-01,0.44
2018-08-01,0.6
2018-09-01,0.68
2018-10-01,1.06
2018-11-01,1.08
2018-12-01,1.07
2019-01-01,0.93
2019-02-01,0.97
2019-03-01,0.85
2019-04-01,0.83
2019-05-01,0.89
2019-06-01,0.99
2019-07-01,0.93
2019-08-01,0.68
2019-09-01,0.52
2019-10-01,0.96
2019-11-01,0.94
2019-12-01,0.93
2020-01-01,1.08
2020-02-01,1.02
2020-03-01,0.83
2020-04-01,0.78
2020-05-01,0.32
2020-06-01,0.3
2020-07-01,0.29
2020-08-01,-0.02
2020-09-01,-0.35
2020-10-01,-0.58
2020-11-01,-0.48
2020-12-01,-0.82
2021-01-01,-1.1
2021-02-01,-0.84
2021-03-01,-0.52
2021-04-01,-0.22
2021-05-01,-0.08
2021-06-01,-0.01
2021-07-01,-0.12
2021-08-01,-0.17
2021-09-01,-0.35
2021-10-01,-0.52
2021-11-01,-0.49
2021-12-01,-0.6
2022-01-01,-0.1
2022-02-01,-0.14
2022-03-01,-0.51
2022-04-01,-0.59
2022-05-01,-0.62
2022-06-01,-0.48
2022-07-01,-0.61
2022-08-01,-0.76
2022-09-01,-0.87
2022-10-01,-0.78
2022-11-01,-0.59
2022-12-01,-0.49
2023-01-01,-0.45
2023-02-01,-0.5
2023-03-01,-0.15
2023-04-01,0.26
2023-05-01,0.36
2023-06-01,0.67
2023-07-01,0.67
2023-08-01,0.9
2023-09-01,1.06
2023-10-01,1.12
2023-11-01,1.39
2023-12-01,1.38
2024-01-01,1.36
2024-02-01,1.28
2024-03-01,1.03
2024-04-01,1.06
2024-05-01,0.76
2024-06-01,0.72
2024-07-01,0.69
2024-08-01,0.56
2024-09-01,0.25
2024-10-01,0.22
2024-11-01,0.24
2024-12-01,-0.3
2025-01-01,-0.53
2025-02-01,-0.37
2025-03-01,-0.11
2025-04-01,-0.03
2025-05-01,0.19
2025-06-01,0.31
2025-07-01,0.29
2025-08-01,0.04
2025-09-01,-0.05
2025-10-01,-0.24
2025-11-01,-0.35
2025-12-01,-0.09
2026-01-01,0.04
2026-02-01,0.32
2026-03-01,0.55
2026-04-01,1.12
2026-05-01,1.23
2026-06-01,1.53
2026-07-01,1.42
